iter	Passed	Remaining
275	1176	3086
276	1181	3083
277	1185	3078
278	1189	3073
279	1192	3066
280	1196	3060
281	1200	3056
282	1204	3051
283	1208	3046
284	1211	3038
285	1218	3041
286	1222	3036
287	1246	3082
288	1251	3078
289	1253	3068
290	1255	3059
291	1257	3050
292	1259	3040
293	1262	3031
294	1264	3022
295	1266	3012
296	1269	3005
297	1272	2996
298	1276	2993
299	1279	2985
300	1282	2979
301	1286	2972
302	1289	2965
303	1291	2957
304	1294	2950
305	1311	2975
306	1316	2972
307	1319	2964
308	1322	2957
309	1325	2950
310	1329	2945
311	1332	2937
312	1347	2956
313	1351	2951
314	1354	2946
315	1358	2940
316	1361	2934
317	1365	2927
318	1368	2922
319	1371	2914
320	1374	2907
321	1376	2899
322	1379	2891
323	1382	2883
324	1384	2874
325	1387	2868
326	1389	2859
327	1391	2850
328	1394	2843
329	1396	2834
330	1397	2825
331	1399	2816
332	1401	2807
333	1403	2798
334	1405	2789
335	1407	2781
336	1408	2770
337	1409	2760
338	1411	2751
339	1413	2743
340	1414	2733
341	1416	2724
342	1419	2718
343	1421	2710
344	1422	2700
345	1423	2691
346	1425	2681
347	1426	2673
348	1428	2664
349	1429	2655
350	1431	2646
351	1433	2638
352	1434	2630
353	1436	2621
354	1438	2613
355	1440	2605
356	1441	2596
357	1443	2588
358	1444	2579
359	1462	2599
360	1463	2590
361	1465	2582
362	1466	2574
363	1468	2565
364	1469	2557
365	1471	2548
366	1473	2541
367	1475	2533
368	1476	2525
369	1478	2516
370	1479	2508
371	1481	2500
372	1482	2492
373	1483	2483
374	1485	2475
375	1500	2490
376	1502	2483
377	1505	2476
378	1507	2470
379	1509	2463
380	1512	2456
381	1515	2451
382	1517	2444
383	1520	2438
384	1522	2431
385	1524	2424
386	1528	2420
387	1531	2415
388	1534	2410
389	1538	2406
390	1541	2401
391	1544	2394
392	1547	2390
393	1549	2383
394	1551	2376
395	1554	2370
396	1556	2363
397	1558	2356
398	1560	2350
399	1562	2343
400	1564	2337
401	1570	2335
402	1572	2329
403	1574	2323
404	1576	2316
405	1579	2310
406	1581	2303
407	1582	2296
408	1585	2290
409	1594	2293
410	1596	2287
411	1597	2280
412	1600	2274
413	1602	2268
414	1604	2262
415	1607	2256
416	1609	2249
417	1611	2243
418	1613	2237
419	1615	2231
420	1617	2224
421	1619	2218
422	1621	2211
423	1623	2205
424	1625	2199
425	1628	2193
426	1630	2187
427	1632	2181
428	1634	2175
429	1636	2168
430	1638	2162
431	1639	2156
432	1641	2149
433	1642	2142
434	1644	2136
435	1646	2129
436	1647	2122
437	1648	2115
438	1650	2109
439	1652	2102
440	1653	2096
441	1655	2089
442	1656	2082
443	1666	2086
444	1668	2080
445	1669	2073
446	1671	2067
447	1672	2061
448	1674	2054
449	1675	2047
450	1676	2041
451	1677	2034
452	1679	2027
453	1680	2021
454	1682	2014
455	1683	2008
456	1685	2002
457	1686	1996
458	1688	1989
459	1689	1983
460	1691	1978
461	1693	1971
462	1694	1965
463	1696	1959
464	1698	1954
465	1699	1947
466	1701	1941
467	1702	1935
468	1705	1930
469	1706	1924
470	1708	1918
471	1709	1912
472	1711	1907
473	1713	1901
474	1714	1895
475	1716	1889
476	1718	1884
477	1719	1877
478	1721	1871
479	1722	1865
480	1724	1860
481	1727	1856
482	1728	1850
483	1730	1844
484	1732	1839
485	1733	1833
486	1735	1827
487	1736	1822
488	1751	1829
489	1752	1824
490	1754	1818
491	1755	1813
492	1757	1807
493	1759	1802
494	1760	1796
495	1761	1790
496	1763	1784
497	1765	1780
498	1767	1774
499	1768	1768
500	1770	1763
501	1771	1757
502	1773	1752
503	1774	1746
504	1776	1741
505	1779	1737
506	1780	1731
507	1782	1725
508	1783	1720
509	1785	1715
510	1787	1710
511	1788	1704
512	1790	1699
513	1792	1694
514	1793	1689
515	1795	1684
516	1796	1678
517	1798	1673
518	1800	1668
519	1801	1663
520	1803	1658
521	1805	1652
522	1806	1647
523	1808	1642
524	1809	1637
525	1811	1632
526	1812	1627
527	1814	1622
528	1816	1616
529	1818	1612
530	1819	1607
531	1821	1602
532	1823	1597
533	1825	1592
534	1832	1592
535	1834	1588
536	1836	1583
537	1838	1578
538	1839	1573
539	1841	1568
540	1842	1563
541	1844	1558
542	1845	1553
543	1847	1548
544	1848	1543
545	1850	1538
546	1852	1533
547	1853	1528
548	1854	1523
549	1856	1518
550	1858	1514
551	1859	1509
552	1860	1503
553	1861	1498
554	1863	1494
555	1864	1489
556	1866	1484
557	1867	1479
558	1868	1474
559	1870	1469
560	1872	1465
561	1873	1460
562	1874	1455
563	1876	1450
564	1877	1445
565	1879	1440
566	1880	1435
567	1881	1431
568	1883	1426
569	1884	1422
570	1886	1417
571	1887	1412
572	1889	1408
573	1891	1403
574	1892	1398
575	1893	1394
576	1895	1389
577	1896	1384
578	1898	1380
579	1899	1375
580	1900	1370
581	1902	1366
582	1903	1361
583	1905	1357
584	1906	1352
585	1907	1347
586	1908	1342
587	1910	1338
588	1911	1333
589	1912	1329
590	1914	1324
591	1915	1320
592	1917	1315
593	1918	1311
594	1919	1306
595	1920	1301
596	1922	1297
597	1923	1293
598	1924	1288
599	1926	1284
600	1927	1279
601	1928	1275
602	1930	1270
603	1931	1266
604	1933	1262
605	1934	1257
606	1936	1253
607	1937	1249
608	1938	1244
609	1940	1240
610	1941	1235
611	1943	1231
612	1944	1227
613	1945	1223
614	1947	1218
615	1948	1214
616	1950	1210
617	1951	1206
618	1952	1201
619	1953	1197
620	1955	1193
621	1957	1189
622	1958	1185
623	1959	1180
624	1961	1176
625	1962	1172
626	1964	1168
627	1965	1164
628	1966	1160
629	1969	1156
630	1970	1152
631	1972	1148
632	1973	1144
633	1975	1140
634	1976	1136
635	1978	1132
636	1979	1127
637	1980	1123
638	1981	1119
639	1983	1115
640	1984	1111
641	1986	1107
642	1987	1103
643	1989	1099
644	1990	1095
645	1991	1091
646	1992	1087
647	1994	1083
648	1995	1079
649	1997	1075
650	1998	1071
651	1999	1067
652	2001	1063
653	2002	1059
654	2004	1055
655	2005	1051
656	2006	1047
657	2008	1043
658	2009	1039
659	2011	1035
660	2012	1032
661	2013	1028
662	2015	1024
663	2016	1020
664	2018	1016
665	2019	1012
666	2020	1008
667	2022	1005
668	2023	1001
669	2024	997
670	2025	993
671	2027	989
672	2028	985
673	2030	982
674	2031	978
675	2033	974
676	2034	970
677	2036	967
678	2037	963
679	2039	959
680	2040	955
681	2041	952
682	2043	948
683	2044	944
684	2045	940
685	2046	936
686	2048	933
687	2049	929
688	2051	925
689	2052	922
690	2053	918
691	2055	914
692	2056	911
693	2058	907
694	2059	903
695	2060	900
696	2062	896
697	2063	892
698	2064	889
699	2065	885
700	2067	881
701	2068	878
702	2070	874
703	2071	870
704	2072	867
705	2073	863
706	2075	860
707	2076	856
708	2077	852
709	2079	849
710	2080	845
711	2081	842
712	2083	838
713	2084	834
714	2085	831
715	2087	827
716	2088	824
717	2089	820
718	2091	817
719	2092	813
720	2093	810
721	2094	806
722	2096	803
723	2098	799
724	2099	796
725	2100	792
726	2102	789
727	2103	786
728	2105	782
729	2106	779
730	2107	775
731	2109	772
732	2110	768
733	2112	765
734	2113	761
735	2114	758
736	2116	755
737	2117	751
738	2118	748
739	2119	744
740	2121	741
741	2122	738
742	2123	734
743	2125	731
744	2126	727
745	2127	724
746	2129	721
747	2130	717
748	2132	714
749	2133	711
750	2135	707
751	2136	704
752	2138	701
753	2139	698
754	2140	694
755	2142	691
756	2143	688
757	2144	684
758	2146	681
759	2147	678
760	2148	674
761	2150	671
762	2152	668
763	2154	665
764	2156	662
765	2157	659
766	2159	655
767	2160	652
768	2163	649
769	2165	646
770	2166	643
771	2169	640
772	2172	637
773	2173	634
774	2177	632
775	2178	628
776	2180	625
777	2182	622
778	2184	619
779	2186	616
780	2188	613
781	2190	610
782	2191	607
783	2192	604
784	2194	601
785	2196	598
786	2197	594
787	2199	591
788	2200	588
789	2202	585
790	2204	582
791	2205	579
792	2206	576
793	2208	572
794	2209	569
795	2211	566
796	2213	563
797	2214	560
798	2216	557
799	2217	554
800	2219	551
801	2221	548
802	2222	545
803	2224	542
804	2225	539
805	2227	536
806	2229	533
807	2231	530
808	2232	527
809	2235	524
810	2236	521
811	2237	518
812	2239	515
813	2241	512
814	2242	509
815	2244	506
816	2245	502
817	2247	500
818	2249	497
819	2251	494
820	2253	491
821	2255	488
822	2256	485
823	2258	482
824	2259	479
825	2260	476
826	2263	473
827	2264	470
828	2265	467
829	2267	464
830	2269	461
831	2270	458
832	2271	455
833	2273	452
834	2274	449
835	2275	446
836	2277	443
837	2278	440
838	2280	437
839	2282	434
840	2283	431
841	2284	428
842	2286	425
843	2287	422
844	2289	419
845	2290	417
846	2292	414
847	2293	411
848	2295	408
849	2296	405
850	2297	402
851	2299	399
852	2300	396
853	2302	393
854	2304	390
855	2305	387
856	2307	384
857	2308	382
858	2310	379
859	2311	376
860	2312	373
861	2314	370
862	2316	367
863	2317	364
864	2318	361
865	2320	359
866	2322	356
867	2324	353
868	2326	350
869	2328	347
870	2330	345
871	2331	342
872	2333	339
873	2336	336
874	2338	334
875	2340	331
876	2342	328
877	2344	325
878	2346	323
879	2363	322
880	2385	322
881	2390	319
882	2394	317
883	2399	314
884	2401	312
885	2406	309
886	2410	307
887	2414	304
888	2418	302
889	2421	299
890	2425	296
891	2429	294
892	2433	291
893	2437	288
894	2440	286
895	2445	283
896	2450	281
897	2455	278
898	2460	276
899	2464	273
900	2477	272
901	2481	269
902	2487	267
903	2492	264
904	2499	262
905	2506	260
906	2511	257
907	2514	254
908	2527	252
909	2531	250
910	2534	247
911	2539	245
912	2542	242
913	2545	239
914	2548	236
915	2552	234
916	2555	231
917	2561	228
918	2563	225
919	2567	223
920	2570	220
921	2575	217
922	2578	215
923	2581	212
924	2583	209
925	2585	206
926	2590	203
927	2593	201
928	2596	198
929	2598	195
930	2601	192
931	2604	190
932	2610	187
933	2612	184
934	2615	181
935	2618	179
936	2623	176
937	2625	173
938	2629	170
939	2631	167
940	2634	165
941	2636	162
942	2638	159
943	2641	156
944	2655	154
945	2668	152
946	2671	149
947	2674	146
948	2676	143
949	2678	140
950	2682	138
951	2684	135
952	2686	132
953	2688	129
954	2690	126
955	2691	123
956	2694	121
957	2696	118
958	2699	115
959	2702	112
960	2704	109
961	2707	106
962	2709	104
963	2712	101
964	2715	98
965	2717	95
966	2720	92
967	2722	89
968	2723	87
969	2725	84
970	2727	81
971	2729	78
972	2732	75
973	2734	73
974	2736	70
975	2740	67
976	2742	64
977	2745	61
978	2747	58
979	2749	56
980	2752	53
981	2754	50
982	2757	47
983	2761	44
984	2764	42
985	2766	39
986	2768	36
987	2770	33
988	2772	30
989	2774	28
990	2777	25
991	2779	22
992	2781	19
993	2783	16
994	2785	13
995	2787	11
996	2789	8
997	2799	5
998	2804	2
999	2806	0
