iter	Logloss
0	0.6854759685
1	0.6786562393
2	0.6730835846
3	0.6666202958
4	0.6590769358
5	0.6518439633
6	0.6447862445
7	0.6398816926
8	0.6336087055
9	0.6283173826
10	0.622367502
11	0.6173798833
12	0.6118008153
13	0.6060343662
14	0.6005281562
15	0.5952272231
16	0.5905220149
17	0.5850177055
18	0.5802771158
19	0.5747972806
20	0.5703040688
21	0.5665662105
22	0.5618971394
23	0.5591835992
24	0.5547652275
25	0.5501465482
26	0.5457198781
27	0.5415092099
28	0.5369900933
29	0.5320095341
30	0.5275419448
31	0.5236551027
32	0.5193981811
33	0.5151499604
34	0.5115924101
35	0.5082481845
36	0.5051654578
37	0.5015736342
38	0.497742044
39	0.4935723948
40	0.4901488699
41	0.4869870942
42	0.4837117987
43	0.4794939409
44	0.4771970871
45	0.4735315023
46	0.4708457828
47	0.469405586
48	0.4665234175
49	0.4635905444
50	0.4604167702
51	0.4582183111
52	0.456938499
53	0.4542861393
54	0.4522064363
55	0.4495847503
56	0.4463460534
57	0.443866326
58	0.4405112657
59	0.4378558322
60	0.4355265796
61	0.4334362586
62	0.4307085148
63	0.4282836395
64	0.426059826
65	0.4236671483
66	0.4215656337
67	0.4193314093
68	0.4172378328
69	0.4152695328
70	0.4133437722
71	0.4112515243
72	0.4096170485
73	0.4075980826
74	0.4059124176
75	0.4038168697
76	0.4017357381
77	0.4003354798
78	0.3981820967
79	0.3963653792
80	0.3945822873
81	0.3926494056
82	0.3907274042
83	0.3901412051
84	0.3887124075
85	0.3866364625
86	0.384484843
87	0.3826420471
88	0.3812313601
89	0.3801237349
90	0.3780047222
91	0.3764702782
92	0.3752680092
93	0.3734180501
94	0.3718382968
95	0.3701886949
96	0.3687902773
97	0.3676179624
98	0.3665166903
99	0.3651708443
100	0.3646755012
101	0.3633137011
102	0.3629455395
103	0.3620933503
104	0.3609966649
105	0.359574896
106	0.3582631233
107	0.356582752
108	0.3553748668
109	0.3544024572
110	0.352981533
111	0.3521656644
112	0.3511668598
113	0.3504673228
114	0.349669361
115	0.3482528207
116	0.3469896698
117	0.3459532908
118	0.3452548861
119	0.3440225516
120	0.3429539977
121	0.3419710071
122	0.3415185966
123	0.3402890165
124	0.3395824681
125	0.3382910076
126	0.337689152
127	0.3367562915
128	0.3356066761
129	0.3345892377
130	0.3336879913
131	0.3325344762
132	0.3315827637
133	0.3307092121
134	0.3295429293
135	0.3283971415
136	0.3276552317
137	0.3268015097
138	0.3260599227
139	0.3252946842
140	0.3245267446
141	0.3235349455
142	0.3230057134
143	0.3224354
144	0.3211596982
145	0.3201465711
146	0.3193319068
147	0.3183962169
148	0.317408043
149	0.3166931589
150	0.3159492333
151	0.3150593143
152	0.3143089123
153	0.3136305261
154	0.3129393174
155	0.3120867219
156	0.3112297841
157	0.3104177962
158	0.3095263498
159	0.3089568016
160	0.3083319479
161	0.3077888358
162	0.3071306961
163	0.3064812532
164	0.3059461757
165	0.3053195966
166	0.3044492039
167	0.3039047571
168	0.3036720957
169	0.3028708412
170	0.3020787473
171	0.301414405
172	0.3008331501
173	0.300238351
174	0.2997159543
175	0.2987779673
176	0.2982254444
177	0.2972230225
178	0.2967319941
179	0.2961119688
180	0.2958278239
181	0.2955262031
182	0.2949657161
183	0.294292866
184	0.2937285477
185	0.2931403677
186	0.2927806396
187	0.2921507462
188	0.2916319843
189	0.2907723256
190	0.2901127
191	0.2893967732
192	0.2886618939
193	0.2879914494
194	0.2872390542
195	0.2867361372
196	0.2862826424
197	0.2857074193
198	0.2851550509
199	0.2846816146
200	0.2838460984
201	0.283208763
202	0.2823593147
203	0.2818096756
204	0.2814659612
205	0.2810751055
206	0.2803527548
207	0.2796518496
208	0.279030945
209	0.2785266454
210	0.2781035707
211	0.2777501065
212	0.2771100377
213	0.2765676824
214	0.2761411845
215	0.2753199831
216	0.2749289104
217	0.2745932605
218	0.2741857643
219	0.2737102585
220	0.2734544204
221	0.2730374562
222	0.2726133638
223	0.272019725
224	0.27172338
225	0.2714115059
226	0.2708492225
227	0.2703353606
228	0.2699663987
229	0.269462272
230	0.26921444
231	0.2689914615
232	0.2685803397
233	0.2680017948
234	0.2676124693
235	0.2673068847
236	0.2669394798
237	0.2664242896
238	0.2661233415
239	0.265513601
240	0.2652855474
241	0.2646262112
242	0.2642024571
243	0.2637968125
244	0.2634499534
245	0.2630615743
246	0.2627376039
247	0.2622882273
248	0.2620277645
249	0.2616182756
250	0.2612399639
251	0.2607847351
252	0.2603154216
253	0.2600146302
254	0.2596957908
255	0.2592750865
256	0.2589332397
257	0.2587047425
258	0.2584121952
259	0.2580987282
260	0.2577064827
261	0.2572763368
262	0.257014691
263	0.2565918655
264	0.2564265759
265	0.2560381846
266	0.2557117361
267	0.2553208491
268	0.2549714785
269	0.254689936
270	0.2542759705
271	0.2538955511
272	0.2534303315
273	0.2530881986
274	0.2527362351
275	0.2523714405
276	0.2519433335
277	0.2515480188
278	0.2512529441
279	0.2507985199
280	0.250661338
281	0.2504761964
282	0.2501054678
283	0.2497656713
284	0.2495057873
285	0.2488978227
286	0.2485312685
287	0.2484081559
288	0.2481097769
289	0.2477177083
290	0.2473067795
291	0.2468078471
292	0.2465231375
293	0.2461851881
294	0.2458295172
295	0.2454302249
296	0.2451690553
297	0.2449200018
298	0.2445458958
299	0.2441621682
300	0.2437971125
301	0.2434548499
302	0.2431910928
303	0.2427467181
304	0.2425615264
305	0.2422290669
306	0.2419217851
307	0.2416370455
308	0.2412430568
309	0.240865998
310	0.2405717797
311	0.240234196
312	0.2398398243
313	0.239464218
314	0.239058145
315	0.2387745432
316	0.238526339
317	0.2382578719
318	0.2378102705
319	0.2375128837
320	0.2372262843
321	0.2368822985
322	0.2366337482
323	0.2360570647
324	0.2356800724
325	0.2355629689
326	0.2352074569
327	0.2348099442
328	0.2343787882
329	0.2341022381
330	0.2338711022
331	0.2335199966
332	0.2328950448
333	0.2325351621
334	0.2322872707
335	0.2317676983
336	0.2317092217
337	0.2313695458
338	0.2311598624
339	0.2308989341
340	0.2306663683
341	0.2304213441
342	0.2301658086
343	0.229573168
344	0.2293745491
345	0.2291708315
346	0.2286844693
347	0.2286198382
348	0.2283140108
349	0.2280626334
350	0.2275724532
351	0.2273448891
352	0.2269758645
353	0.2267306719
354	0.2264622102
355	0.2260868838
356	0.2257274797
357	0.2253154452
358	0.225080488
359	0.2248131662
360	0.2245153721
361	0.224295275
362	0.2238900675
363	0.2236927248
364	0.2234450316
365	0.2230958723
366	0.2228227701
367	0.2225801303
368	0.2223550856
369	0.2220628059
370	0.2218585637
371	0.2215645801
372	0.2212967601
373	0.2207775035
374	0.2204898948
375	0.2201862783
376	0.2199306855
377	0.2195150161
378	0.2193417227
379	0.2190762046
380	0.2188324165
381	0.2186738719
382	0.2182991551
383	0.2180614608
384	0.2177868673
385	0.2175033205
386	0.2172357701
387	0.2168649704
388	0.216472946
389	0.2162713367
390	0.2160263011
391	0.2157831024
392	0.2156173171
393	0.215421153
394	0.2152517951
395	0.2149337926
396	0.21482706
397	0.2145788599
398	0.214380975
399	0.2139720988
400	0.2136726001
401	0.2135905505
402	0.2133455933
403	0.2131933176
404	0.2129657372
405	0.2127703131
406	0.2125177459
407	0.2123777673
408	0.2120686013
409	0.2118574082
410	0.2116951248
411	0.2113053491
412	0.2109933376
413	0.2108179219
414	0.210686337
415	0.2104586005
416	0.2102705993
417	0.2100715725
418	0.2098538117
419	0.2095530595
420	0.2093592152
421	0.2090968566
422	0.2089599848
423	0.2086978511
424	0.2085763506
425	0.2083683737
426	0.2081387218
427	0.207828089
428	0.2074390447
429	0.2072383718
430	0.2069797477
431	0.2067215367
432	0.2065251628
433	0.2063897484
434	0.2061345655
435	0.2059086113
436	0.2056826902
437	0.205545981
438	0.205349234
439	0.2050568578
440	0.204793692
441	0.2045241425
442	0.2043630854
443	0.2041426474
444	0.2039739205
445	0.2037621898
446	0.2035716345
447	0.2033392652
448	0.2030527126
449	0.2027005064
450	0.2023279424
451	0.2023148276
452	0.2020681283
453	0.2016081392
454	0.2013522182
455	0.201123921
456	0.2009078999
457	0.2007452071
458	0.2004905146
459	0.2002603309
460	0.2000494037
461	0.1996866643
462	0.1995639082
463	0.1994166446
464	0.1991939081
465	0.1991077418
466	0.1988743946
467	0.1986394162
468	0.1984584231
469	0.1982295484
